,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
0,AK,AK,132792.0
1,AK,AZ,1855.0
2,AK,CA,2756.0
3,AK,CO,2895.0
4,AK,HI,5559.0
5,AK,MN,3363.0
6,AK,OR,5339.0
7,AK,WA,59718.0
8,AL,AL,5.0
9,AL,AZ,325.0
10,AL,CO,4256.0
11,AL,FL,8705.0
12,AL,GA,36692.0
13,AL,IL,7823.0
14,AL,KY,13.0
15,AL,MD,1287.0
16,AL,MI,3375.0
17,AL,NC,14224.0
18,AL,NJ,7.0
19,AL,NV,1856.0
20,AL,NY,1573.0
21,AL,PA,1125.0
22,AL,SC,30.0
23,AL,TX,30205.0
24,AL,VA,5290.0
25,AR,AZ,1955.0
26,AR,CA,1210.0
27,AR,CO,5980.0
28,AR,FL,2572.0
29,AR,GA,13961.0
30,AR,IL,8307.0
31,AR,LA,39.0
32,AR,MI,222.0
33,AR,MN,1025.0
34,AR,MO,2829.0
35,AR,NC,5829.0
36,AR,NJ,606.0
37,AR,NM,57.0
38,AR,NV,2300.0
39,AR,NY,1190.0
40,AR,OK,126.0
41,AR,PA,551.0
42,AR,TN,618.0
43,AR,TX,27918.0
44,AR,VA,1249.0
45,AZ,AK,2816.0
46,AZ,AL,323.0
47,AZ,AR,2161.0
48,AZ,AZ,35386.0
49,AZ,CA,241396.0
50,AZ,CO,84574.0
51,AZ,FL,30998.0
52,AZ,GA,34251.0
53,AZ,HI,20113.0
54,AZ,IA,17719.0
55,AZ,ID,10364.0
56,AZ,IL,88426.0
57,AZ,IN,13012.0
58,AZ,KS,4200.0
59,AZ,KY,9253.0
60,AZ,LA,5036.0
61,AZ,MA,14731.0
62,AZ,MD,9822.0
63,AZ,MI,30392.0
64,AZ,MN,64628.0
65,AZ,MO,31071.0
66,AZ,MS,113.0
67,AZ,MT,7146.0
68,AZ,NC,25123.0
69,AZ,ND,18643.0
70,AZ,NE,13281.0
71,AZ,NJ,19140.0
72,AZ,NM,16283.0
73,AZ,NV,48881.0
74,AZ,NY,19269.0
75,AZ,OH,13814.0
76,AZ,OK,9437.0
77,AZ,OR,32166.0
78,AZ,PA,27443.0
79,AZ,SD,9790.0
80,AZ,TN,11132.0
81,AZ,TX,142361.0
82,AZ,UT,45064.0
83,AZ,VA,11430.0
84,AZ,WA,65716.0
85,AZ,WI,22851.0
86,CA,AK,3633.0
87,CA,AL,72.0
88,CA,AR,1285.0
89,CA,AZ,235253.0
90,CA,CA,809873.0
91,CA,CO,202082.0
92,CA,FL,98642.0
93,CA,GA,118450.0
94,CA,HI,219035.0
95,CA,IA,88.0
96,CA,ID,21640.0
97,CA,IL,172951.0
98,CA,IN,6907.0
99,CA,KY,7173.0
100,CA,LA,20816.0
101,CA,MA,60566.0
102,CA,MD,25443.0
103,CA,MI,42623.0
104,CA,MN,71612.0
105,CA,MO,35301.0
106,CA,MT,2422.0
107,CA,NC,48587.0
108,CA,NE,6194.0
109,CA,NJ,74148.0
110,CA,NM,15476.0
111,CA,NV,226391.0
112,CA,NY,115045.0
113,CA,OH,15429.0
114,CA,OK,5425.0
115,CA,OR,137787.0
116,CA,PA,38507.0
117,CA,TN,27060.0
118,CA,TX,375572.0
119,CA,UT,123235.0
120,CA,VA,55471.0
121,CA,WA,207825.0
122,CA,WI,1986.0
123,CA,WY,2259.0
124,CO,AK,3015.0
125,CO,AL,4593.0
126,CO,AR,6289.0
127,CO,AZ,76993.0
128,CO,CA,199802.0
129,CO,CO,64053.0
130,CO,CT,3480.0
131,CO,FL,103170.0
132,CO,GA,46811.0
133,CO,HI,14895.0
134,CO,IA,13323.0
135,CO,ID,13565.0
136,CO,IL,72487.0
137,CO,IN,10622.0
138,CO,KS,6287.0
139,CO,KY,12176.0
140,CO,LA,16130.0
141,CO,MA,19683.0
142,CO,MD,19421.0
143,CO,MI,24468.0
144,CO,MN,35444.0
145,CO,MO,37329.0
146,CO,MT,25013.0
147,CO,NC,30306.0
148,CO,ND,12182.0
149,CO,NE,18594.0
150,CO,NJ,20692.0
151,CO,NM,13140.0
152,CO,NV,52196.0
153,CO,NY,33191.0
154,CO,OH,19602.0
155,CO,OK,17631.0
156,CO,OR,29884.0
157,CO,PA,24921.0
158,CO,SC,3386.0
159,CO,SD,10831.0
160,CO,TN,24940.0
161,CO,TX,197148.0
162,CO,UT,39875.0
163,CO,VA,37073.0
164,CO,WA,43103.0
165,CO,WI,17289.0
166,CO,WY,14313.0
167,CT,CO,2906.0
168,CT,FL,51822.0
169,CT,GA,11359.0
170,CT,IL,9965.0
171,CT,KY,565.0
172,CT,LA,42.0
173,CT,MA,114.0
174,CT,MD,7445.0
175,CT,MI,5299.0
176,CT,MN,3613.0
177,CT,MO,2031.0
178,CT,MS,164.0
179,CT,NC,13230.0
180,CT,NY,124.0
181,CT,OH,318.0
182,CT,PA,6108.0
183,CT,PR,3763.0
184,CT,SC,1906.0
185,CT,TN,59.0
186,CT,TX,2797.0
187,CT,VA,8116.0
188,FL,AL,9397.0
189,FL,AR,2943.0
190,FL,AZ,35315.0
191,FL,CA,109073.0
192,FL,CO,110653.0
193,FL,CT,67757.0
194,FL,FL,150318.0
195,FL,GA,415701.0
196,FL,IA,15347.0
197,FL,IL,327979.0
198,FL,IN,84032.0
199,FL,KS,552.0
200,FL,KY,77506.0
201,FL,LA,38452.0
202,FL,MA,194460.0
203,FL,MD,127807.0
204,FL,ME,11792.0
205,FL,MI,206574.0
206,FL,MN,141217.0
207,FL,MO,78893.0
208,FL,MS,1484.0
209,FL,NC,280495.0
210,FL,ND,2695.0
211,FL,NE,7860.0
212,FL,NH,13744.0
213,FL,NJ,281757.0
214,FL,NV,29499.0
215,FL,NY,436917.0
216,FL,OH,134065.0
217,FL,OK,3086.0
218,FL,OR,3889.0
219,FL,PA,237687.0
220,FL,PR,99060.0
221,FL,RI,37433.0
222,FL,SC,13289.0
223,FL,SD,3187.0
224,FL,TN,99378.0
225,FL,TX,373328.0
226,FL,UT,16817.0
227,FL,VA,165523.0
228,FL,VI,17357.0
229,FL,VT,1289.0
230,FL,WA,24164.0
231,FL,WI,51985.0
232,FL,WV,4706.0
233,GA,AL,38621.0
234,GA,AR,15048.0
235,GA,AZ,31766.0
236,GA,CA,108198.0
237,GA,CO,42964.0
238,GA,CT,12721.0
239,GA,FL,378983.0
240,GA,GA,62994.0
241,GA,HI,4687.0
242,GA,IA,8811.0
243,GA,IL,65135.0
244,GA,IN,27931.0
245,GA,KS,5036.0
246,GA,KY,38965.0
247,GA,LA,44596.0
248,GA,MA,38841.0
249,GA,MD,36054.0
250,GA,ME,2264.0
251,GA,MI,55983.0
252,GA,MN,41910.0
253,GA,MO,47077.0
254,GA,MS,16936.0
255,GA,MT,1505.0
256,GA,NC,95992.0
257,GA,ND,229.0
258,GA,NE,10610.0
259,GA,NH,359.0
260,GA,NJ,37329.0
261,GA,NM,4901.0
262,GA,NV,29239.0
263,GA,NY,99034.0
264,GA,OH,49307.0
265,GA,OK,15340.0
266,GA,OR,8628.0
267,GA,PA,62471.0
268,GA,PR,12075.0
269,GA,RI,5529.0
270,GA,SC,54843.0
271,GA,SD,1976.0
272,GA,TN,67524.0
273,GA,TX,150591.0
274,GA,UT,30236.0
275,GA,VA,105794.0
276,GA,VI,5586.0
277,GA,VT,1349.0
278,GA,WA,18842.0
279,GA,WI,25831.0
280,GA,WV,3215.0
281,GA,WY,1699.0
282,HI,AK,7413.0
283,HI,AZ,24408.0
284,HI,CA,275722.0
285,HI,CO,19735.0
286,HI,GA,6816.0
287,HI,HI,333170.0
288,HI,IL,15343.0
289,HI,MA,4216.0
290,HI,MN,5397.0
291,HI,NJ,4031.0
292,HI,NV,13627.0
293,HI,NY,4845.0
