,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
0,AK,AK,132792.0
1,AK,AZ,1855.0
2,AK,CA,2756.0
3,AK,CO,2895.0
4,AK,HI,5559.0
5,AK,MN,3363.0
6,AK,OR,5339.0
7,AK,WA,59718.0
8,AL,AL,5.0
9,AL,AZ,325.0
10,AL,CO,4256.0
11,AL,DC,5265.0
12,AL,FL,8705.0
13,AL,GA,36692.0
14,AL,IL,7823.0
15,AL,KY,13.0
16,AL,MD,1287.0
17,AL,MI,3375.0
18,AL,NC,14224.0
19,AL,NJ,7.0
20,AL,NV,1856.0
21,AL,NY,1573.0
22,AL,PA,1125.0
23,AL,SC,30.0
24,AL,TX,30205.0
25,AL,VA,25.0
26,AR,AZ,1955.0
27,AR,CA,1210.0
28,AR,CO,5980.0
29,AR,DC,1249.0
30,AR,FL,2572.0
31,AR,GA,13961.0
32,AR,IL,8307.0
33,AR,LA,39.0
34,AR,MI,222.0
35,AR,MN,1025.0
36,AR,MO,2829.0
37,AR,NC,5829.0
38,AR,NJ,606.0
39,AR,NM,57.0
40,AR,NV,2300.0
41,AR,NY,1190.0
42,AR,OK,126.0
43,AR,PA,551.0
44,AR,TN,618.0
45,AR,TX,27918.0
46,AZ,AK,2816.0
47,AZ,AL,323.0
48,AZ,AR,2161.0
49,AZ,AZ,35386.0
50,AZ,CA,241396.0
51,AZ,CO,84574.0
52,AZ,DC,11430.0
53,AZ,FL,30998.0
54,AZ,GA,34251.0
55,AZ,HI,20113.0
56,AZ,IA,17719.0
57,AZ,ID,10364.0
58,AZ,IL,88426.0
59,AZ,IN,13012.0
60,AZ,KS,4200.0
61,AZ,KY,9253.0
62,AZ,LA,5036.0
63,AZ,MA,14731.0
64,AZ,MD,9822.0
65,AZ,MI,30392.0
66,AZ,MN,64628.0
67,AZ,MO,31071.0
68,AZ,MS,113.0
69,AZ,MT,7146.0
70,AZ,NC,25123.0
71,AZ,ND,18643.0
72,AZ,NE,13281.0
73,AZ,NJ,19140.0
74,AZ,NM,16283.0
75,AZ,NV,48881.0
76,AZ,NY,19269.0
77,AZ,OH,13814.0
78,AZ,OK,9437.0
79,AZ,OR,32166.0
80,AZ,PA,27443.0
81,AZ,SD,9790.0
82,AZ,TN,11132.0
83,AZ,TX,142361.0
84,AZ,UT,45064.0
85,AZ,WA,65716.0
86,AZ,WI,22851.0
87,CA,AK,3633.0
88,CA,AL,72.0
89,CA,AR,1285.0
90,CA,AZ,235253.0
91,CA,CA,809873.0
92,CA,CO,202082.0
93,CA,DC,55471.0
94,CA,FL,98642.0
95,CA,GA,118450.0
96,CA,HI,219035.0
97,CA,IA,88.0
98,CA,ID,21640.0
99,CA,IL,172951.0
100,CA,IN,6907.0
101,CA,KY,7173.0
102,CA,LA,20816.0
103,CA,MA,60566.0
104,CA,MD,25443.0
105,CA,MI,42623.0
106,CA,MN,71612.0
107,CA,MO,35301.0
108,CA,MT,2422.0
109,CA,NC,48587.0
110,CA,NE,6194.0
111,CA,NJ,74148.0
112,CA,NM,15476.0
113,CA,NV,226391.0
114,CA,NY,115045.0
115,CA,OH,15429.0
116,CA,OK,5425.0
117,CA,OR,137787.0
118,CA,PA,38507.0
119,CA,TN,27060.0
120,CA,TX,375572.0
121,CA,UT,123235.0
122,CA,WA,207825.0
123,CA,WI,1986.0
124,CA,WY,2259.0
125,CO,AK,3015.0
126,CO,AL,4593.0
127,CO,AR,6289.0
128,CO,AZ,76993.0
129,CO,CA,199802.0
130,CO,CO,64053.0
131,CO,CT,3480.0
132,CO,DC,32057.0
133,CO,FL,103170.0
134,CO,GA,46811.0
135,CO,HI,14895.0
136,CO,IA,13323.0
137,CO,ID,13565.0
138,CO,IL,72487.0
139,CO,IN,10622.0
140,CO,KS,6287.0
141,CO,KY,12176.0
142,CO,LA,16130.0
143,CO,MA,19683.0
144,CO,MD,19421.0
145,CO,MI,24468.0
146,CO,MN,35444.0
147,CO,MO,37329.0
148,CO,MT,25013.0
149,CO,NC,30306.0
150,CO,ND,12182.0
151,CO,NE,18594.0
152,CO,NJ,20692.0
153,CO,NM,13140.0
154,CO,NV,52196.0
155,CO,NY,33191.0
156,CO,OH,19602.0
157,CO,OK,17631.0
158,CO,OR,29884.0
159,CO,PA,24921.0
160,CO,SC,3386.0
161,CO,SD,10831.0
162,CO,TN,24940.0
163,CO,TX,197148.0
164,CO,UT,39875.0
165,CO,VA,5016.0
166,CO,WA,43103.0
167,CO,WI,17289.0
168,CO,WY,14313.0
169,CT,CO,2906.0
170,CT,DC,8116.0
171,CT,FL,51822.0
172,CT,GA,11359.0
173,CT,IL,9965.0
174,CT,KY,565.0
175,CT,LA,42.0
176,CT,MA,114.0
177,CT,MD,7445.0
178,CT,MI,5299.0
179,CT,MN,3613.0
180,CT,MO,2031.0
181,CT,MS,164.0
182,CT,NC,13230.0
183,CT,NY,124.0
184,CT,OH,318.0
185,CT,PA,6108.0
186,CT,PR,3763.0
187,CT,SC,1906.0
188,CT,TN,59.0
189,CT,TX,2797.0
190,DC,AL,5206.0
191,DC,AR,1289.0
192,DC,AZ,10510.0
193,DC,CA,52534.0
194,DC,CO,31349.0
195,DC,CT,8828.0
196,DC,FL,110523.0
197,DC,GA,51920.0
198,DC,HI,1742.0
199,DC,IA,1342.0
200,DC,IL,40863.0
201,DC,IN,6404.0
202,DC,KY,10049.0
203,DC,LA,9449.0
204,DC,MA,33303.0
205,DC,ME,7778.0
206,DC,MI,20617.0
207,DC,MN,16951.0
208,DC,MO,17381.0
209,DC,MS,637.0
210,DC,NC,40858.0
211,DC,NE,2462.0
212,DC,NH,5311.0
213,DC,NJ,10866.0
214,DC,NV,5712.0
215,DC,NY,40464.0
216,DC,OH,17621.0
217,DC,OK,3510.0
218,DC,OR,3631.0
219,DC,PA,13982.0
220,DC,PR,4590.0
221,DC,RI,9790.0
222,DC,SC,13439.0
223,DC,TN,16448.0
224,DC,TX,65345.0
225,DC,UT,4266.0
226,DC,VA,12032.0
227,DC,VI,1708.0
228,DC,VT,5694.0
229,DC,WA,11552.0
230,DC,WI,3761.0
231,DC,WV,749.0
232,FL,AL,9397.0
233,FL,AR,2943.0
234,FL,AZ,35315.0
235,FL,CA,109073.0
236,FL,CO,110653.0
237,FL,CT,67757.0
238,FL,DC,133865.0
239,FL,FL,150318.0
240,FL,GA,415701.0
241,FL,IA,15347.0
242,FL,IL,327979.0
243,FL,IN,84032.0
244,FL,KS,552.0
245,FL,KY,77506.0
246,FL,LA,38452.0
247,FL,MA,194460.0
248,FL,MD,127807.0
249,FL,ME,11792.0
250,FL,MI,206574.0
251,FL,MN,141217.0
252,FL,MO,78893.0
253,FL,MS,1484.0
254,FL,NC,280495.0
255,FL,ND,2695.0
256,FL,NE,7860.0
257,FL,NH,13744.0
258,FL,NJ,281757.0
259,FL,NV,29499.0
260,FL,NY,436917.0
261,FL,OH,134065.0
262,FL,OK,3086.0
263,FL,OR,3889.0
264,FL,PA,237687.0
265,FL,PR,99060.0
266,FL,RI,37433.0
267,FL,SC,13289.0
268,FL,SD,3187.0
269,FL,TN,99378.0
270,FL,TX,373328.0
271,FL,UT,16817.0
272,FL,VA,31658.0
273,FL,VI,17357.0
274,FL,VT,1289.0
275,FL,WA,24164.0
276,FL,WI,51985.0
277,FL,WV,4706.0
278,GA,AL,38621.0
279,GA,AR,15048.0
280,GA,AZ,31766.0
281,GA,CA,108198.0
282,GA,CO,42964.0
283,GA,CT,12721.0
284,GA,DC,52973.0
285,GA,FL,378983.0
286,GA,GA,62994.0
287,GA,HI,4687.0
288,GA,IA,8811.0
289,GA,IL,65135.0
290,GA,IN,27931.0
291,GA,KS,5036.0
292,GA,KY,38965.0
293,GA,LA,44596.0
294,GA,MA,38841.0
