STATE_OR_REGION,STATE_Abr,2010_DENSITY
Alabama,AL,94.4
Alaska,AK,1.2
Arizona,AZ,56.3
Arkansas,AR,56
California,CA,239.1
Colorado,CO,48.5
Connecticut,CT,738.1
Delaware,DE,460.8
District of Columbia,DC,"9,856.50"
Florida,FL,350.6
Georgia,GA,168.4
Hawaii,HI,211.8
Idaho,ID,19
Illinois,IL,231.1
Indiana,IN,181
Iowa,IA,54.5
Kansas,KS,34.9
Kentucky,KY,109.9
Louisiana,LA,104.9
Maine,ME,43.1
Maryland,MD,594.8
Massachusetts,MA,839.4
Michigan,MI,174.8
Minnesota,MN,66.6
Mississippi,MS,63.2
Missouri,MO,87.1
Montana,MT,6.8
Nebraska,NE,23.8
Nevada,NV,24.6
New Hampshire,NH,147
New Jersey,NJ,"1,195.50"
New Mexico,NM,17
New York,NY,411.2
North Carolina,NC,196.1
North Dakota,ND,9.7
Ohio,OH,282.3
Oklahoma,OK,54.7
Oregon,OR,39.9
Pennsylvania,PA,283.9
Rhode Island,RI,"1,018.10"
South Carolina,SC,153.9
South Dakota,SD,10.7
Tennessee,TN,153.9
Texas,TX,96.3
Utah,UT,33.6
Vermont,VT,67.9
Virginia,VA,202.6
Washington,WA,101.2
West Virginia,WV,77.1
Wisconsin,WI,105
Wyoming,WY,5.8
Puerto Rico,PR,"1,088.20"
