"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
0.00,91.00,603.00,14747,"SEA","Seattle, WA","WA","Washington",11588,"ESD","Eastsound, WA","WA","Washington","416",3,1,
0.00,72.00,686.00,14747,"SEA","Seattle, WA","WA","Washington",11050,"CLM","Port Angeles, WA","WA","Washington","416",3,1,
0.00,71.00,375.00,14747,"SEA","Seattle, WA","WA","Washington",13540,"MVW","Burlington/Mount Vernon, WA","WA","Washington","416",3,1,
0.00,106.00,50.00,14057,"PDX","Portland, OR","OR","Oregon",11603,"EUG","Eugene, OR","OR","Oregon","416",3,1,
0.00,0.00,1.00,14057,"PDX","Portland, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,116.00,1701.00,14057,"PDX","Portland, OR","OR","Oregon",14489,"RDM","Bend/Redmond, OR","OR","Oregon","416",3,1,
0.00,222.00,1560.00,14057,"PDX","Portland, OR","OR","Oregon",13264,"MFR","Medford, OR","OR","Oregon","416",3,1,
0.00,171.00,2594.00,14057,"PDX","Portland, OR","OR","Oregon",13964,"OTH","North Bend/Coos Bay, OR","OR","Oregon","416",3,1,
0.00,166.00,1297.00,14057,"PDX","Portland, OR","OR","Oregon",14467,"RBG","Roseburg, OR","OR","Oregon","416",3,1,
0.00,241.00,2354.00,14057,"PDX","Portland, OR","OR","Oregon",13024,"LMT","Klamath Falls, OR","OR","Oregon","416",3,1,
0.00,100.00,917.00,14057,"PDX","Portland, OR","OR","Oregon",13890,"ONP","Newport, OR","OR","Oregon","416",3,1,
0.00,159.00,560.00,16101,"YKM","Yakima, WA","WA","Washington",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,71.00,125.00,16101,"YKM","Yakima, WA","WA","Washington",14252,"PSC","Pasco/Kennewick/Richland, WA","WA","Washington","416",3,1,
0.00,103.00,184.00,14489,"RDM","Bend/Redmond, OR","OR","Oregon",11603,"EUG","Eugene, OR","OR","Oregon","416",3,1,
0.00,116.00,1966.00,14489,"RDM","Bend/Redmond, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,89.00,708.00,13127,"LWS","Lewiston, ID","ID","Idaho",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,120.00,1421.00,14252,"PSC","Pasco/Kennewick/Richland, WA","WA","Washington",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,93.00,1451.00,10666,"BLI","Bellingham, WA","WA","Washington",14747,"SEA","Seattle, WA","WA","Washington","416",3,1,
0.00,29.00,99.00,10666,"BLI","Bellingham, WA","WA","Washington",11762,"FRD","Friday Harbor, WA","WA","Washington","416",3,1,
0.00,159.00,1279.00,10140,"ABQ","Albuquerque, NM","NM","New Mexico",11413,"DRO","Durango, CO","CO","Colorado","416",3,1,
0.00,0.00,4.00,10140,"ABQ","Albuquerque, NM","NM","New Mexico",10140,"ABQ","Albuquerque, NM","NM","New Mexico","416",3,1,
0.00,149.00,2103.00,10140,"ABQ","Albuquerque, NM","NM","New Mexico",11711,"FMN","Farmington, NM","NM","New Mexico","416",3,1,
0.00,119.00,1071.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",11695,"FLG","Flagstaff, AZ","AZ","Arizona","416",3,1,
0.00,0.00,25.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",14107,"PHX","Phoenix, AZ","AZ","Arizona","416",3,1,
0.00,160.00,1922.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",13785,"NYL","Yuma, AZ","AZ","Arizona","416",3,1,
0.00,156.00,1468.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",12132,"HII","Lake Havasu City, AZ","AZ","Arizona","416",3,1,
0.00,147.00,1140.00,14054,"PDT","Pendleton, OR","OR","Oregon",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,49.00,289.00,14054,"PDT","Pendleton, OR","OR","Oregon",12956,"LGD","La Grande, OR","OR","Oregon","416",3,1,
0.00,222.00,1973.00,13264,"MFR","Medford, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,59.00,1091.00,10299,"ANC","Anchorage, AK","AK","Alaska",11555,"ENA","Kenai, AK","AK","Alaska","416",3,1,
0.00,117.00,1028.00,10299,"ANC","Anchorage, AK","AK","Alaska",12184,"HOM","Homer, AK","AK","Alaska","416",3,1,
0.00,72.00,722.00,11050,"CLM","Port Angeles, WA","WA","Washington",14747,"SEA","Seattle, WA","WA","Washington","416",3,1,
0.00,83.00,742.00,11198,"CVO","Corvallis, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,126.00,956.00,11470,"EAT","Wenatchee, WA","WA","Washington",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,60.00,161.00,11470,"EAT","Wenatchee, WA","WA","Washington",16101,"YKM","Yakima, WA","WA","Washington","416",3,1,
0.00,59.00,787.00,11555,"ENA","Kenai, AK","AK","Alaska",10299,"ANC","Anchorage, AK","AK","Alaska","416",3,1,
0.00,18.00,193.00,11588,"ESD","Eastsound, WA","WA","Washington",10666,"BLI","Bellingham, WA","WA","Washington","416",3,1,
0.00,14.00,155.00,11588,"ESD","Eastsound, WA","WA","Washington",11762,"FRD","Friday Harbor, WA","WA","Washington","416",3,1,
0.00,39.00,338.00,11711,"FMN","Farmington, NM","NM","New Mexico",11413,"DRO","Durango, CO","CO","Colorado","416",3,1,
0.00,149.00,1125.00,11711,"FMN","Farmington, NM","NM","New Mexico",10140,"ABQ","Albuquerque, NM","NM","New Mexico","416",3,1,
0.00,90.00,138.00,11711,"FMN","Farmington, NM","NM","New Mexico",12018,"GUP","Gallup, NM","NM","New Mexico","416",3,1,
0.00,29.00,16.00,11762,"FRD","Friday Harbor, WA","WA","Washington",10666,"BLI","Bellingham, WA","WA","Washington","416",3,1,
0.00,14.00,178.00,11762,"FRD","Friday Harbor, WA","WA","Washington",11588,"ESD","Eastsound, WA","WA","Washington","416",3,1,
0.00,128.00,945.00,12018,"GUP","Gallup, NM","NM","New Mexico",10140,"ABQ","Albuquerque, NM","NM","New Mexico","416",3,1,
0.00,90.00,123.00,12018,"GUP","Gallup, NM","NM","New Mexico",11711,"FMN","Farmington, NM","NM","New Mexico","416",3,1,
0.00,156.00,1583.00,12132,"HII","Lake Havasu City, AZ","AZ","Arizona",14107,"PHX","Phoenix, AZ","AZ","Arizona","416",3,1,
0.00,117.00,1048.00,12184,"HOM","Homer, AK","AK","Alaska",10299,"ANC","Anchorage, AK","AK","Alaska","416",3,1,
0.00,65.00,27.00,12184,"HOM","Homer, AK","AK","Alaska",11555,"ENA","Kenai, AK","AK","Alaska","416",3,1,
0.00,49.00,459.00,12956,"LGD","La Grande, OR","OR","Oregon",14054,"PDT","Pendleton, OR","OR","Oregon","416",3,1,
0.00,241.00,2028.00,13024,"LMT","Klamath Falls, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,148.00,235.00,13024,"LMT","Klamath Falls, OR","OR","Oregon",14489,"RDM","Bend/Redmond, OR","OR","Oregon","416",3,1,
0.00,71.00,720.00,13540,"MVW","Burlington/Mount Vernon, WA","WA","Washington",14747,"SEA","Seattle, WA","WA","Washington","416",3,1,
0.00,88.00,703.00,13546,"MWH","Moses Lake, WA","WA","Washington",11884,"GEG","Spokane, WA","WA","Washington","416",3,1,
0.00,160.00,2671.00,13785,"NYL","Yuma, AZ","AZ","Arizona",14107,"PHX","Phoenix, AZ","AZ","Arizona","416",3,1,
0.00,38.00,419.00,13890,"ONP","Newport, OR","OR","Oregon",11198,"CVO","Corvallis, OR","OR","Oregon","416",3,1,
0.00,171.00,62.00,13964,"OTH","North Bend/Coos Bay, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,47.00,97.00,13964,"OTH","North Bend/Coos Bay, OR","OR","Oregon",14467,"RBG","Roseburg, OR","OR","Oregon","416",3,1,
0.00,120.00,963.00,13964,"OTH","North Bend/Coos Bay, OR","OR","Oregon",14871,"SLE","Salem, OR","OR","Oregon","416",3,1,
0.00,62.00,447.00,14467,"RBG","Roseburg, OR","OR","Oregon",11603,"EUG","Eugene, OR","OR","Oregon","416",3,1,
0.00,166.00,196.00,14467,"RBG","Roseburg, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,65.00,111.00,14467,"RBG","Roseburg, OR","OR","Oregon",13264,"MFR","Medford, OR","OR","Oregon","416",3,1,
0.00,47.00,18.00,14467,"RBG","Roseburg, OR","OR","Oregon",13964,"OTH","North Bend/Coos Bay, OR","OR","Oregon","416",3,1,
0.00,117.00,40.00,14467,"RBG","Roseburg, OR","OR","Oregon",14871,"SLE","Salem, OR","OR","Oregon","416",3,1,
0.00,51.00,514.00,14871,"SLE","Salem, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","416",3,1,
0.00,222.00,54.00,14057,"PDX","Portland, OR","OR","Oregon",13264,"MFR","Medford, OR","OR","Oregon","442",3,1,
0.00,121.00,733.00,12896,"LBB","Lubbock, TX","TX","Texas",13158,"MAF","Midland/Odessa, TX","TX","Texas","442",3,1,
0.00,264.00,852.00,12896,"LBB","Lubbock, TX","TX","Texas",10194,"AFW","Dallas/Fort Worth, TX","TX","Texas","442",3,1,
0.00,121.00,611.00,13158,"MAF","Midland/Odessa, TX","TX","Texas",12896,"LBB","Lubbock, TX","TX","Texas","442",3,1,
0.00,236.00,1080.00,15370,"TUL","Tulsa, OK","OK","Oklahoma",10194,"AFW","Dallas/Fort Worth, TX","TX","Texas","442",3,1,
0.00,261.00,1369.00,11630,"FAI","Fairbanks, AK","AK","Alaska",10299,"ANC","Anchorage, AK","AK","Alaska","442",3,1,
0.00,222.00,98.00,13264,"MFR","Medford, OR","OR","Oregon",14057,"PDX","Portland, OR","OR","Oregon","442",3,1,
0.00,261.00,1360.00,10299,"ANC","Anchorage, AK","AK","Alaska",11630,"FAI","Fairbanks, AK","AK","Alaska","442",3,1,
0.00,321.00,1224.00,12278,"ICT","Wichita, KS","KS","Kansas",10194,"AFW","Dallas/Fort Worth, TX","TX","Texas","442",3,1,
0.00,264.00,960.00,10194,"AFW","Dallas/Fort Worth, TX","TX","Texas",12896,"LBB","Lubbock, TX","TX","Texas","442",3,1,
0.00,294.00,96.00,10194,"AFW","Dallas/Fort Worth, TX","TX","Texas",13158,"MAF","Midland/Odessa, TX","TX","Texas","442",3,1,
0.00,236.00,962.00,10194,"AFW","Dallas/Fort Worth, TX","TX","Texas",15370,"TUL","Tulsa, OK","OK","Oklahoma","442",3,1,
0.00,321.00,1095.00,10194,"AFW","Dallas/Fort Worth, TX","TX","Texas",12278,"ICT","Wichita, KS","KS","Kansas","442",3,1,
0.00,131.00,783.00,13891,"ONT","Ontario, CA","CA","California",14689,"SBA","Santa Barbara, CA","CA","California","441",3,1,
0.00,317.00,1290.00,14457,"RAP","Rapid City, SD","SD","South Dakota",11775,"FSD","Sioux Falls, SD","SD","South Dakota","441",3,1,
0.00,131.00,865.00,14689,"SBA","Santa Barbara, CA","CA","California",13891,"ONT","Ontario, CA","CA","California","441",3,1,
0.00,188.00,754.00,14869,"SLC","Salt Lake City, UT","UT","Utah",12280,"IDA","Idaho Falls, ID","ID","Idaho","441",3,1,
0.00,159.00,725.00,11884,"GEG","Spokane, WA","WA","Washington",16101,"YKM","Yakima, WA","WA","Washington","441",3,1,
